Class,True Positives,False Positives,True Negatives,False Negatives
b'Tuberaria guttata',0,9,3527,6
b'Tulipa sylvestris',0,3,3536,3
b'Ulex europaeus',0,4,3533,5
b'Ulmus minor',0,5,3533,4
b'Urospermum dalechampii',0,3,3536,3
b'Vaccinium vitis-idaea',0,7,3531,4
b'Veratrum album',0,9,3527,6
b'Verbascum blattaria',0,3,3534,5
b'Verbascum boerhavii',0,7,3533,2
b'Verbascum lychnitis',0,4,3531,7
b'Verbascum nigrum',0,7,3528,7
b'Verbascum pulverulentum',0,4,3531,7
b'Verbascum sinuatum',0,3,3535,4
b'Verbascum thapsus',0,2,3532,8
b'Verbena officinalis',0,7,3529,6
b'Veronica anagallis-aquatica',0,3,3530,9
b'Veronica arvensis',0,6,3529,7
b'Veronica beccabunga',0,5,3533,4
b'Veronica chamaedrys',0,8,3526,8
b'Veronica officinalis',0,3,3534,5
b'Veronica persica',0,9,3528,5
b'Veronica serpyllifolia',0,5,3532,5
b'Viburnum lantana',0,3,3532,7
b'Viburnum opulus',0,7,3523,12
b'Viburnum rhytidophyllum',0,4,3532,6
b'Viburnum tinus',0,6,3530,6
b'Vicia cracca',0,4,3535,3
b'Vicia pannonica',0,7,3529,6
b'Vicia sativa',0,6,3530,6
b'Vinca major',0,6,3530,6
b'Vinca minor',0,7,3531,4
b'Viola alba',0,7,3528,7
b'Viola arvensis',0,7,3527,8
b'Viola biflora',0,0,3534,8
b'Viola cornuta',0,5,3531,6
b'Viola lutea',1,3,3533,5
b'Viola odorata',0,6,3528,8
b'Viola riviniana',0,9,3522,11
b'Viola tricolor',0,7,3528,7
b'Vitis vinifera',0,4,3533,5
b'Wisteria sinensis',0,6,3531,5
